Parameter,Estimate
Intercept,-0.4252
DEM_RACE_OTHERMINORITY,-0.6472
DEM_RACE_BLACK,-0.0664
DEM_GENDER_MALE,-0.2935
DEM_VET,0.4353
HH_HAS_CHILDREN,0.4843
SN_HIV_ENTRY,0.6614
SN_SUBSTABUSE_ENTRY,-0.3438
INC_CUSTOM_OTHER,-0.4924
INC_EARNED_ENTRY,0.2178
INC_UNEMPINS_ENTRY,2.6453
BEN_CUSTOM_OTHER,2.2206
BEN_ONE_ENTRY,-2.7218
BEN_MULTIPLE_ENTRY,-2.7192
BEN_SNAP_ENTRY,2.874
INC_EARNEDINCOME_SAME,-0.5493
INC_ONE_EXIT,1.2105
INC_MULTIPLE_EXIT,1.7723
INC_UNEMPINS_EXIT,-2.6947
INC_CHILDSUPPORT_EXIT,-0.9192
