"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
67,0.940014702557892,117,179,0,5,1
898,0.954887899714143,14,14,52.3621673444266,10,
1494,,5,9,,,
1887,0.924701576617676,20,20,54.0714985940516,2,
3066,0.900649646154839,11,11,55.5154828666907,1,
3079,0.938385777563709,65,65,53.2829899977948,5,
3331,0.928440385451119,7,7,53.8537538688664,,
3580,0.894597608961426,3,3,55.8910503439049,,
3581,0.863106291973256,18,18,57.9302925549166,1,1
4045,0.948871710569735,1,7,0,,1
4278,0.954635973326174,41,42,50.536409712516,10,
4465,0.944013283729041,0,173,0,7,1
5408,0.906010770029523,16,21,37.8066587491783,1,1
5921,0.950941989585194,37,37,52.5794428551949,9,
6083,0.958793673907052,16,16,52.1488630564819,10,
6253,0.924336075958902,73,73,54.0928795277521,2,
6266,0.944885324527269,9,11,34.5865125515715,7,1
6271,0.943809218232765,20,20,52.9768082723567,6,
6284,0.952501791803162,1,1,52.4933395719351,,
6295,0.915284783619007,36,37,52.1459823891174,1,
6414,0.934085727118403,4,14,0,4,1
6467,0.930366372535648,31,33,50.0628982274848,3,
6551,0.928895146269066,23,25,49.940102285542,3,
6597,0.955827952267864,10,10,52.310669384973,,
6645,0.950131957671336,35,35,52.6242692883884,9,
6736,0.947869559416329,93,101,49.2580980256469,8,
6828,0.952501791803162,9,9,52.4933395719351,,
6832,0.952501791803162,10,10,52.4933395719351,,
6833,,1,2,,,
6865,0.923370915559668,56,66,46.0371993839716,2,
6867,0.929933841058245,76,78,51.5144924801737,3,
6869,0.928333921589402,110,127,47.093141883461,2,
6878,0.952501791803162,1,1,52.4933395719351,,
6907,0.952501791803162,2,2,52.4933395719351,,
6920,0.938858423234064,75,79,50.096189659852,5,
6991,0.93461138789929,3,3,53.498171162224,,
7201,0.935164347121437,31,31,53.4665378913415,4,
7228,0.949598429751093,31,31,52.653836014773,9,
7230,0.944641727994515,25,26,50.2729768789801,7,
7231,0.955273592190414,11,12,48.2557503341364,10,
7335,0.933614574834847,8,8,53.5552907460178,,
7352,0.94559497021657,46,46,52.8767618006137,8,
7374,0.936010150787997,57,66,45.6273878554992,4,
7392,0.98750681373687,1,1,50.6325620284003,,
7400,0.986648696171356,1,1,50.6765986657892,,
7406,0.957913543642834,5,8,0,,1
7415,0.946398666764591,39,39,52.8318580275822,8,
7417,0.956770154849186,8,8,52.2591551864213,,
7421,0.933744511411732,54,54,53.5478381815651,3,
7497,0.921671774177052,4,5,39.7469019919664,,1
7511,0.943341078828178,84,84,53.0030983725528,6,
7512,0.769820866538008,1,1,64.9501749996164,,1
7556,0.941727212097066,27,27,53.0939314036158,6,
7582,0.915010204092014,7,9,37.8914883362245,,1
7597,0.939148030420986,570,606,50.0018294279475,5,
7605,0.947151338809339,147,154,50.0546121312302,8,
7653,0.952501791803162,0,1,0,,1
7862,0.937684973693752,9,10,48.7847749927214,,
8092,0.943025311802392,10,13,21.8915455188835,6,1
8167,0.952501791803162,10,12,34.3054228529734,9,1
