PROGRAM_KEY,p,dest_perm,n,decile,adjscore,exclude
5074,0.582780949,0,2,10,0,
6186,0.73335271,0,1,10,0,
6707,0.900563372,0,1,10,0,
6969,0.530256326,0,4,9,0,
7292,0.583771251,0,2,10,0,
4395,0.58292683,1,11,10,0.214229885,
3749,0.476199584,0,809,8,4.543794783,
1941,0.48402764,1,48,8,7.046374183,
7138,0.460770481,0,214,6,7.275105967,
5800,0.470690283,3,301,7,7.400387935,
6029,0.457768922,0,90,6,7.788391335,
7142,0.469791744,3,220,7,8.231994114,
6007,0.444684399,1,1259,4,10.10401518,
406,0.453830599,21,1459,5,11.04686093,
4145,0.472291927,2,48,7,12.79813196,
510,0.47741355,28,532,8,13.83826404,
3318,0.486104777,25,382,9,14.5817209,
4144,0.443658002,1,36,3,14.9638499,
6750,0.429192615,6,248,2,16.52379454,
2938,0.425296116,2,76,2,17.43602461,
4176,0.392181341,0,60,2,17.73862278,
7427,0.467270604,8,115,7,18.22995511,
3676,0.473020097,2,26,7,18.52979964,
7293,0.378418955,0,2,1,19.55996663,
1942,0.447167284,4,63,4,20.22623553,
534,0.371809711,0,66,1,20.40628316,
7045,0.578498595,1,5,10,20.62369205,
637,0.447721463,23,285,5,22.76153081,
3316,0.441444656,22,281,3,23.25722803,
5227,0.610496569,15,59,10,23.31250178,
3529,0.458013491,42,365,6,26.31070133,
7656,0.450874552,3,26,5,27.26988122,
7591,0.373131491,3,62,1,27.45683063,
6204,0.308103631,0,1,1,27.73484266,
6047,0.485125455,46,278,8,29.54567222,
6195,0.444826,98,724,4,30.60994297,
251,0.510073829,43,211,9,31.23060417,
6115,0.441764733,6,43,3,31.4801954,
6008,0.461751245,20,125,6,31.68204299,
3904,0.444062029,11,76,4,31.85376415,
6571,0.517808005,8,35,9,33.24718967,
583,0.446101312,79,459,4,34.80959612,
5429,0.446886511,32,185,4,34.82301503,
3530,0.485109096,56,266,8,34.90747299,
568,0.452228477,167,928,5,35.03704839,
4050,0.416135964,45,304,2,35.20728419,
305,0.454385093,169,915,6,35.33184994,
4226,0.481836197,13,59,8,36.30576925,
5959,0.479463992,10,45,8,36.74297092,
3504,0.45222225,14,70,5,37.15954295,
826,0.479188859,21,90,8,37.89003267,
4523,0.432847744,49,233,3,39.91258477,
3564,0.438385393,71,327,3,40.05782528,
3817,0.500291584,33,118,9,40.26442724,
3738,0.46682925,13,52,7,40.55544798,
7252,0.445699392,48,208,4,40.65073789,
3569,0.429881644,37,171,3,40.70002369,
5269,0.560944866,10,27,10,42.62672682,
3834,0.47088438,50,175,7,43.11907488,
7047,0.433491156,25,97,3,43.71045555,
4142,0.564367072,18,46,10,43.90891428,
7596,0.473059754,19,60,7,45.09399781,
1093,0.490141672,16,45,9,46.37590658,
7697,0.440157038,54,176,3,46.39247306,
112,0.505108459,71,189,9,46.64834068,
6852,0.465136579,14,41,6,46.92604465,
6881,0.452142034,3,9,5,47.15079542,
3816,0.485345739,39,104,9,47.56266995,
7842,0.398032425,5,17,2,47.74662703,
6179,0.447827703,124,362,5,47.75855603,
605,0.469017404,90,239,7,48.28407129,
4027,0.448763597,30,84,5,48.30331162,
3179,0.475932912,19,49,8,48.44132346,
286,0.445226481,9,25,4,48.52964431,
6199,0.471980907,216,534,7,49.08624434,
1811,0.431942768,17,46,3,49.20711841,
7529,0.400490312,10,29,2,49.35477568,
3139,0.445182742,106,270,4,49.4401257,
6351,0.550926389,6,12,10,49.4758632,
7507,0.422562321,3,8,2,49.53644614,
3475,0.322960321,7,25,1,49.57797153,
4507,0.377531599,2,6,1,49.58436717,
3498,0.627885616,15,25,10,49.83359227,
7889,0.353112656,1,3,1,49.91436508,
7058,0.46536966,16,35,6,49.9863987,
4094,0.389215981,14,36,1,49.9999775,
4466,0.464693366,121,253,6,50.03699992,
7414,0.4613015,17,35,6,50.11991514,
3459,0.471398497,87,174,7,50.16414631,
8089,0.524837881,5,9,9,50.18918194,
2931,0.48309432,14,27,8,50.25126202,
5887,0.504277779,12,22,9,50.33913004,
385,0.454226347,77,154,5,50.42258713,
4564,0.436423352,475,959,3,50.70486748,
4500,0.45051657,34,66,5,50.84379977,
726,0.977080926,1,1,10,51.17283396,
4261,0.473897899,31,56,7,51.27304366,
5761,0.392752962,130,274,2,51.39934536,
1806,0.415106073,31,61,2,51.78462064,
7650,0.327750015,3,7,1,52.30675805,
6482,0.516556233,5,8,9,52.35459176,
7433,0.953968293,1,1,10,52.41264343,
1807,0.418798578,147,278,2,52.4845797,
3008,0.462661064,87,149,6,52.95590232,
505,0.448233218,44,76,5,53.45426478,
7311,0.441949575,15,26,3,53.69335346,
404,0.445535929,10,17,4,54.12152504,
6452,0.455565194,81,134,6,54.47028713,
391,0.446239391,80,133,4,54.87779609,
3210,0.4570647,108,174,6,55.39440225,
3439,0.430694425,62,101,3,56.84147272,
6531,0.317670066,1,2,1,57.66858503,
7508,0.518148744,10,14,9,57.70409239,
3873,0.382455743,13,22,1,59.19895471,
3267,0.44591849,89,134,4,59.6403236,
591,0.454098647,32,43,5,66.97318543,
7324,0.445394498,29,38,4,70.43848602,
179,0.476399266,20,24,8,75.53728225,
1824,0.413722101,40,51,2,78.31059249,
5596,0.413255516,88,101,2,93.26066953,1
3322,0.36802696,2,2,1,100,
5369,0.473554775,4,4,7,100,
6929,0.367400989,61,68,1,100,1
7069,0.473906876,27,27,8,100,1
3988,,16,33,,,
4218,,25,47,,,
5450,,0,3,,,
5509,,0,1,,,
5570,,0,1,,,
6919,,6,8,,,
6996,,0,1,,,
7306,,0,1,,,
