PROGRAM_KEY,p,dest_perm,n,adjscore,decile,exclude
3627,0.750163569,0,2,0,,
3721,0.737384615,0,3,0,,
3841,0.729447502,0,10,0,,
3842,0.657393451,0,1,0,,
3943,0.502499979,0,1,0,,
3983,0.597100911,0,1,0,,
4556,0.756060287,0,1,0,,
5334,0.656040814,0,1,0,,
6164,0.716486568,0,1,0,,
6463,0.729008908,0,1,0,,
6903,0.672386772,0,1,0,,
6923,0.731474116,0,4,0,,
7183,0.74711797,0,1,0,,
7185,0.694926925,0,2,0,,
7446,0.685269149,1,6,0,,
7474,0.657883961,1,8,0,,
7620,0.818853634,0,1,0,,
7937,0.634599482,0,1,0,,
6367,0.694775647,3,11,8.001797963,8,1
6453,0.671259821,8,26,20.05000842,4,
6056,0.805823576,1,2,20.11347221,,
7538,0.677546574,1,3,22.88441368,,
5814,0.6552688,3,9,27.05925219,,
6101,0.704568367,2,5,27.71772874,,
6926,0.703760886,2,5,27.87077631,,
7191,0.632743816,10,32,27.93344785,2,
6888,0.648177623,8,24,28.2657753,2,
6225,0.646799376,1,3,28.49398466,,
760,0.661232629,5,13,32.92059813,3,
7023,0.65309535,2,5,35.86318343,,
5708,0.679562243,23,53,36.14987382,6,
6496,0.650574136,2,5,36.19009644,,
7190,0.616640856,31,85,36.57516973,1,
6415,0.676800625,7,16,36.91039908,5,
1461,0.718429263,3,6,38.2071136,,
665,0.713938372,3,6,38.79460815,,
1928,0.674294864,6,13,39.69469563,4,
6216,0.744732676,5,9,40.58735697,,
3283,0.697067413,1,2,40.80442561,,
7537,0.70610658,18,35,41.1345338,9,
6560,0.655285777,6,13,41.69094854,2,
4555,0.616781281,4,9,43.71727088,,
6562,0.666535239,1,2,43.76108264,,
3158,0.598693723,3,7,43.97701461,,
6951,0.7431141,3,5,44.63537853,,
3387,0.740500795,3,5,44.86351524,,
6227,0.727810378,3,5,45.8770085,,
2969,0.605242477,7,15,45.98130503,1,
3938,0.629331545,6,12,46.41479653,1,
6649,0.688811916,4,7,46.78590021,,
3284,0.746344482,7,11,46.80537071,10,
1421,0.708578633,9,15,47.14537348,9,
3736,0.72810475,5,8,47.31507681,,
3961,0.692566369,20,34,47.44386025,8,
7015,0.695297919,6,10,47.85666287,,
3839,0.711048292,10,16,48.19810222,10,
6044,0.635787297,6,11,48.23805014,2,
6934,0.588720159,7,14,48.37456989,1,
1904,0.680983918,8,13,49.00958089,7,
6904,0.56854973,1,2,49.04218352,,
6234,0.72423797,2,3,49.17021349,,
7526,0.660414172,3,5,49.18626741,,
6651,0.561244309,1,2,49.2384003,,
6855,0.67706615,12,19,49.52684461,6,
1936,0.674658242,46,70,49.93011472,5,
3087,0.686770633,19,28,49.98437431,7,
6304,0.673930628,4,6,49.98799418,,
4184,0.668706787,4,6,49.99906064,,
1926,0.711013588,22,31,49.99956555,9,
6924,0.58031247,7,12,50.00187346,1,
3376,0.732786425,3,4,50.07566172,,
6041,0.682810266,12,17,50.12289228,7,
5960,0.606568963,12,19,50.13105332,1,
5545,0.639005365,2,3,50.1658479,,
3737,0.72230012,3,4,50.19126364,,
3282,0.632387368,2,3,50.25273201,,
3553,0.667297415,39,55,50.39337952,3,
4461,0.692761418,17,23,50.50508717,8,
2943,0.730530107,7,9,50.56699919,,
7536,0.671118867,13,18,50.59160308,4,
691,0.695298797,6,8,50.70618438,,
3778,0.690816327,3,4,50.81996382,,
2908,0.690300363,15,20,50.83355562,7,
6922,0.682387258,6,8,51.05462552,,
4183,0.679115657,9,12,51.15286477,6,
7024,0.677085586,15,20,51.21581019,6,
3450,0.710714087,11,14,51.36795755,9,
7223,0.679105117,22,29,51.45068992,6,
3110,0.70079018,11,14,51.71976111,8,
4200,0.655421646,6,8,51.9803627,,
4541,0.691703727,11,14,52.07221531,7,
6921,0.595700486,7,10,52.25841317,,
1821,0.64656679,3,4,52.34082668,,
5588,0.643103383,3,4,52.48928545,,
7240,0.682664568,12,15,53.17762345,7,
3720,0.671878521,12,15,53.7229609,4,
6442,0.615255568,6,8,53.83498581,,
6990,0.668677454,22,27,54.81975378,4,
3088,0.709652068,6,7,55.27880468,,
687,0.655585772,14,17,56.24577769,2,
788,0.650053691,5,6,57.38325413,,
4011,0.72731592,9,10,57.51781666,,
6202,0.675897534,43,50,57.73617023,5,
6392,0.854071732,1,1,58.54309202,,
7000,0.66582005,26,30,59.0648743,3,
6339,0.671224786,21,24,59.40818102,4,
1817,0.658895142,21,24,60.3895049,3,
5405,0.711055881,25,27,61.23580418,10,
3194,0.675380709,29,32,62.15568298,5,
4569,0.699711693,14,15,62.98788967,8,
1870,0.718289282,23,24,64.23800507,10,
4290,0.756484233,2,2,66.09523081,,
3844,0.756060287,1,1,66.13229245,,
6863,0.743998887,6,6,67.20440163,,
3697,0.73072038,12,12,68.42562674,10,
4146,0.724167072,15,15,69.04484051,10,
6912,0.656299302,20,21,69.43169268,3,
3664,0.716486568,1,1,69.78497884,,
6901,0.710917669,2,2,70.3316322,,
6906,0.709421228,16,16,70.47998849,9,
1815,0.708910106,3,3,70.53080437,,
7224,0.703123776,4,4,71.11123485,,
6859,0.692143189,8,8,72.23938745,,
7635,0.689888911,1,1,72.47543658,,
6226,0.685136213,4,4,72.97818894,,
4570,0.684291291,10,10,73.06829809,,
4477,0.683064374,2,2,73.19954298,,
7515,0.677288731,5,5,73.82375889,,
1872,0.676603752,87,87,73.89849655,5,
7514,0.649945295,6,6,76.92955148,,
7447,0.643181568,1,1,77.7385462,,
5700,0.634599482,1,1,78.78985319,,
589,0.620141239,2,2,80.62679406,,
5551,0.614542503,3,3,81.36133751,,
6355,0.607138547,1,1,82.35352584,,
3760,0.594985071,3,3,84.03572199,,
7506,0.593896753,5,5,84.18971771,,
7544,0.572901712,1,1,87.2750054,,
7773,0.52739753,2,2,94.80514629,,
7033,,0,1,,,
8213,,0,1,,,
