PROGRAM_KEY,p,dest_perm,n,adjscore,decile,exclude
7477,0.585689926,0,2,0,,
7407,0.695931874,2,12,0,1,1
5977,0.781741315,0,21,0,4,1
7386,0.798145906,1,4,0,,
7401,0.932261671,7,13,0,10,1
7397,0.987389913,1,2,0,,
6997,0.874918128,3,5,15.46853741,,
7587,0.811162946,21,37,30.63075131,8,
7367,0.820199314,6,10,33.5604024,,
7043,0.844802513,18,26,41.13170134,10,
7370,0.649246827,10,19,46.68195971,1,
7505,0.803781079,10,14,47.46082618,7,
6876,0.677130139,106,166,49.65966784,1,
7418,0.531849993,5,10,49.79628899,,
7632,0.484676538,2,4,50.04700585,,
7721,0.996996846,2,2,50.15060999,,
7372,0.83753053,41,47,50.44524908,9,
6771,0.746418306,19,24,50.54084836,3,
6254,0.811198116,151,176,50.71370614,8,
6785,0.795440527,101,119,50.87293178,7,
5555,0.786811459,27,32,50.96638045,5,
6696,0.784633426,100,118,51.16782791,5,
6690,0.795130858,97,113,51.22895482,6,
6701,0.832104132,36,39,52.96193384,9,
7416,0.71139116,14,17,53.06238276,2,
6733,0.832364729,52,56,53.31666467,9,
7351,0.754072264,53,61,53.55208578,3,
7375,0.67104469,106,132,53.945798,1,
6697,0.830089392,44,47,53.98931557,9,
6932,0.855504274,54,56,54.78632768,10,
7160,0.817923151,108,115,54.93242182,8,
6883,0.709492665,187,219,55.05744172,2,
6770,0.641289227,4,5,55.47500419,,
6992,0.782561662,14,15,56.67966701,5,
7584,0.876062745,16,16,57.07353758,10,
7539,0.872393814,4,4,57.31356548,,
6834,0.866446706,3,3,57.70695375,,
7639,0.866446706,2,2,57.70695375,,
7652,0.866446706,2,2,57.70695375,,
6988,0.862324905,11,11,57.98278548,10,
590,0.801662122,108,112,58.31649014,7,
6810,0.856360825,8,8,58.38660356,,
7044,0.822195951,52,53,58.63969202,8,
3143,0.706365157,79,88,58.82764937,2,
6698,0.839257622,228,228,59.57646217,9,
6786,0.79014497,96,99,59.72129973,6,
7079,0.777952987,32,33,60.64180274,4,
6702,0.809608429,3,3,61.7582503,,
6973,0.806802645,10,10,61.97302438,,
7657,0.805070414,38,38,62.10636871,7,
6703,0.804769348,14,14,62.12960286,7,
6719,0.786371211,130,131,62.6298103,5,
5134,0.774348616,69,70,62.78392978,4,
7376,0.793372188,35,35,63.02212352,6,
7753,0.787753824,18,18,63.47160554,6,
4658,0.785061833,5,5,63.68925087,,
7319,0.784061999,20,20,63.77046717,5,
7048,0.78115878,27,27,64.00747359,4,
6775,0.773553899,18,18,64.63673713,4,
7329,0.770285668,2,2,64.91098309,,
7068,0.765070983,15,15,65.35341312,3,
6341,0.760104795,26,26,65.78040338,3,
6938,0.735601087,21,21,67.9716233,2,
6866,0.619313296,188,206,68.24483316,1,
7399,0.712709859,32,32,70.15477533,2,
7377,0.642377959,4,4,77.83579638,,
6569,0.624117765,2,2,80.11308574,,
7422,0.613275094,1,1,81.52948076,,
7294,0.233137783,4,4,100,,
6746,,3,3,,,
