PROGRAM_KEY,p,dest_perm,n,adjscore,decile,exclude
35,0.620219919,11,21,48.02694208,10,
37,0.411584452,6,10,57.32926427,,
73,0.416662543,12,14,89.91339656,4,
74,,2,2,,,
75,0.175523229,3,3,100,,
76,0.857922329,4,4,58.28033417,,
97,0.478793417,30,33,87.09792101,7,
101,0.54917906,16,37,47.2474156,9,
130,0.465396758,50,63,71.65385428,6,
137,0.46148937,227,415,51.47072624,6,
139,0.218029904,3,7,62.9998794,,
140,0.36800445,17,46,50.0005237,2,
142,0.481564098,64,132,50.00216038,7,
157,0.459162781,5,9,51.87079293,,
174,0.530262315,31,95,41.65057708,9,
176,0.479006775,58,154,47.89982563,7,
202,0.3441793,85,137,66.90565208,2,
206,0.659226356,30,45,50.01232116,10,
215,0.475054979,18,33,50.9936931,6,
228,0.414450275,13,16,82.64438161,4,
250,0.47508929,27,54,50.12441752,6,
252,0.500850681,4,10,47.96582213,,
268,0.41266911,10,24,50.00329666,3,
304,0.475933276,19,28,58.23151515,7,
311,0.472507494,12,17,60.92579746,6,
341,0.379092398,10,10,100,,
367,0.558870528,33,43,58.82270898,9,
390,0.575607091,40,44,72.76277896,9,
508,0.687540948,4,17,2.397540868,10,
511,0.564821602,8,30,31.91679594,9,
554,0.523923681,28,32,74.70748086,8,
567,0.515998855,35,41,72.8261828,8,
588,0.501234106,33,39,73.79407042,8,
633,0.414448281,44,123,49.33705289,4,
645,,4,4,,,
647,0.065369224,9,110,50.22142844,1,
666,0.460007028,4,6,58.59664038,,
717,0.502524979,10,28,45.77269995,8,
1804,0.533345716,41,49,68.4912186,9,
1816,,0,1,,,
1879,0.373137962,17,22,84.13157449,2,
1880,0.352142422,13,22,62.49451827,2,
1900,0.411828633,41,43,100,3,
1910,0.067553006,0,2,46.37764902,,
1912,0.450789161,28,72,49.22617535,5,
1929,0.475363596,21,43,50.03392657,7,
1935,0.241436772,8,20,56.86403928,1,
1939,0.504582391,50,94,50.14942569,8,
1940,0.413198183,12,34,49.25125272,4,
1948,0.484162546,16,18,82.79358425,7,
2933,,0,1,,,
2968,0.494237841,22,39,50.97634558,7,
2991,0.444551464,35,62,52.91414276,5,
3009,,6,6,,,
