"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
112,0.631614462719654,56,191,25.3889964907579,6,
179,0.623421862277198,16,24,50.3982912327729,4,
251,0.635741434678995,30,212,0,7,
286,0.647928357181975,6,25,13.5263049518992,9,
305,0.62937414076434,156,926,4.46417969410708,5,
385,0.635435577333621,55,154,33.2841723368077,7,
391,0.611745692481346,61,134,44.8425795875297,3,
404,0.675724784154682,10,17,48.2533810439781,10,
406,0.618210387169743,10,1464,0,4,
505,0.609690935370071,44,76,49.8014087374975,3,
510,0.64196125732174,22,534,0,8,
534,0.630569178363819,0,66,0,6,
568,0.63962690766866,113,933,0,7,
583,0.627603982021162,91,459,10.5637191012275,5,
591,0.672794769582273,27,43,49.5423603305185,10,
605,0.650793564346372,76,247,24.1006339784598,9,
637,0.632885195879415,17,285,0,6,
726,0.0160356015296131,1,1,100,,
826,0.614524790793124,19,90,15.6493162713061,3,
1093,0.658104078900649,16,45,29.659033834933,9,
1806,0.595517526881638,27,61,45.1475629847088,2,
1807,0.616688490823535,132,282,45.3290017694414,4,
1811,0.626799359510447,13,46,24.6780438836822,5,
1824,0.601371060997549,39,51,55.5643728009103,2,
1941,0.635088522632123,1,48,0,7,
1942,0.673214667639749,3,63,0,10,
2931,0.665399643458931,14,28,43.8562974753362,10,
2938,0.630007518137857,2,76,0,6,
3008,0.648927303553017,71,144,44.6677351365482,9,
3139,0.627004703529157,96,270,34.2466538493689,5,
3179,0.499888542523162,19,49,47.4852181801562,1,
3210,0.524591083855592,94,174,50.0490330258876,1,
3267,0.630909677920162,98,148,50.2097197092747,6,
3316,0.629988600936808,10,281,0,6,
3318,0.646615338841814,21,381,0,8,
3322,0.50296597778603,2,2,99.4103025021522,,
3439,0.6170081924063,62,101,49.997904780137,4,
3459,0.640530486639776,77,175,41.2676939015101,8,
3475,0.519447317226482,7,27,36.4399213117,1,
3498,0.654504462670661,26,26,76.3936731553799,9,
3504,0.637340372075265,13,71,5.36520770330387,7,
3529,0.628817691858202,29,363,0,5,
3530,0.636220487667808,46,267,3.50138983281399,7,
3564,0.628525397469491,68,328,12.0062695443321,5,
3569,0.62942660866491,28,172,3.32256428946516,5,
3676,0.656867510419667,2,27,0,9,
3738,0.57450008815631,10,52,20.122482167908,1,
3749,0.616692958346587,0,809,0,4,
3816,0.604870573273956,31,106,29.5807608964641,3,
3817,0.628157282536403,25,125,10.7581931664051,5,
3834,0.604221867016316,46,176,25.4217515739849,2,
3873,0.448469476294801,13,22,54.1013718089944,1,
3904,0.587313362888693,10,77,6.83277505895482,2,
3988,,15,33,,,
4027,0.608797750727577,24,84,28.0858269971108,3,
4050,0.634753699342398,34,306,0,7,
4094,0.676731382129224,14,36,31.0634893261454,10,
4142,0.586133829404294,16,46,38.2945101488894,2,
4144,0.660538807288875,1,36,0,9,
4145,0.645176887731782,1,48,0,8,
4176,0.570133101223447,0,59,0,1,
4218,,19,47,,,
4226,0.669469703558856,11,60,0,10,
4261,0.649680595231794,31,51,49.615464452825,9,
4466,0.626875583783993,118,261,43.4707947001064,5,
4500,0.640727490068252,25,70,32.5322066528352,8,
4507,0.645863967849099,2,6,28.6477316781078,,
4523,0.631499549401055,43,241,5.89359598891296,6,
4564,0.611444622680613,427,989,43.2043065698349,3,
5227,0.943040944932803,14,60,0,10,
5269,0.679913215583602,10,27,27.9864381404031,10,
5369,0.882633413054947,4,4,56.648659863149,,
5429,0.597945118645499,28,188,8.06918220023388,2,
5596,0.660099824323407,93,106,60.5187277881347,9,
5761,0.626228716988007,121,285,41.3123539327669,5,
5800,0.642002336027547,2,315,0,8,
5887,0.619230260611781,14,30,45.0642037016639,4,
5959,0.573714327772201,8,45,17.9502414929585,1,
6007,0.632213064351468,1,1259,0,6,
6008,0.616775044837202,16,126,0,4,
6029,0.587548148400173,0,90,0,2,
6047,0.637476970547047,36,278,0,7,
6115,0.658872659271056,4,44,0,9,
6179,0.617889056014095,108,363,28.2645139987347,4,
6186,0.985128854008269,0,1,0,,
6195,0.640275134754493,85,751,0,8,
6199,0.62783229717898,179,538,31.3628000622631,5,
6204,0.362655232546854,0,1,21.5495246006304,,
6351,0.552092874135736,5,12,46.2916960499415,1,
6452,0.636594240349395,73,134,48.1778996373249,7,
6482,1,5,10,0,,
6531,0.842628001984411,1,2,5.73582587427971,,
6571,0.587004033012531,8,37,21.644714773084,2,
6707,0.958855208455329,0,1,0,,
