Parameter,Estimate
Intercept,-0.819303425
PE_LENGTH_OF_STAY,0.004450164
DEM_RACE_NONWHITE,-0.201415031
DEM_GENDER_MALE,-0.430674274
AGE_UNDER18_EXIT,0.552760193
AGE_18TO24_EXIT,0.150272315
HH_UNACCOMPANIED,-0.346739063
HH_HAS_TEENAGE_MALE,0.246836791
CS_PNR_HOMELESS,-0.376250607
CS_PRIOR_HOMELESS_ENROLL,-0.567221161
SN_DISABCOND_ENTRY,-0.138578738
SN_PHYSDIS_ENTRY,0.164029479
SN_HIV_ENTRY,0.556778454
INC_MULTIPLE_ENTRY,-0.289068803
INC_VETDISPMT_ENTRY,0.773113146
INC_SS_ENTRY,0.801188943
INC_VETPENSION_ENTRY,0.948703295
BEN_SCHIP_ENTRY,1.061812437
INC_EARNEDINCOME_INCREASE,0.27957491
INC_EARNED_EXIT,0.649262281
INC_SSI_EXIT,0.602397812
INC_SSDI_EXIT,0.692241908
BEN_ANY_EXIT,-0.211811178
BEN_SNAP_EXIT,0.274433076
BEN_SCHIP_EXIT,-1.481066203
Rural,1.2738
