Parameter,Estimate
Intercept,2.414223302
PE_LENGTH_OF_STAY,0.004440489
DEM_RACE_BLACK,0.490536841
HH_NOT_ONLY_ADULT,-0.353235971
HH_HAS_TEENAGE_FEMALE,-1.64514713
HH_HAS_TEENAGER,1.633567771
CS_PRIOR_HOMELESS_ENROLL,-1.872180565
SN_PHYSDIS_ENTRY,-0.705511867
SN_MENTILL_ENTRY,0.91550627
SN_SUBSTABUSE_ENTRY,-1.381605241
INC_VETDISPMT_ENTRY,2.171749667
BEN_MULTIPLE_ENTRY,1.117753802
BEN_MEDICAID_ENTRY,-0.838762449
BEN_SCHIP_ENTRY,4.390259571
BEN_VAMS_ENTRY,-0.812279077
INC_VETDISPMT_EXIT,-2.318325805
BEN_SCHIP_EXIT,-3.773391722
