Parameter,Estimate
Intercept,2.482829015
PE_LENGTH_OF_STAY,0.002748689
DEM_VET,-0.70893286
AGE_18TO24_ENTRY,-2.275139808
AGE_18TO24_EXIT,2.449930127
HH_HEAD,-0.342509012
HH_UNACCOMPANIED,-0.730744189
HH_NOT_ONLY_ADULT,-0.598450734
HH_HAS_TEENAGER,-0.022061849
CS_PNR_HOMELESS,-0.396358138
CS_PRIOR_HOMELESS_ENROLL,-0.329872333
SN_DEVELDIS_ENTRY,-0.88073077
SN_HIV_ENTRY,0.365599405
SN_MENTILL_ENTRY,-0.173813538
SN_DV_ENTRY,0.733602209
INC_ANY_ENTRY,0.267082862
INC_MULTIPLE_ENTRY,0.919906949
INC_EARNED_ENTRY,-0.766511358
INC_TANF_ENTRY,-1.396733926
INC_CHILDSUPPORT_ENTRY,-0.692900529
INC_ALIMONY_ENTRY,-2.279102092
BEN_SNAP_ENTRY,0.302262889
BEN_MEDICAID_ENTRY,-0.370268127
BEN_SCHIP_ENTRY,-1.017335548
INC_EARNED_EXIT,0.66977903
BEN_RENTTEMP_EXIT,0.854662551
