Parameter,Estimate
Intercept,-1.001995586
PE_LENGTH_OF_STAY,0.00267334
DEM_RACE_BLACK,0.198512285
DEM_GENDER_MALE,-0.264027673
DEM_VET,0.34407995
AGE_UNDER18_EXIT,0.995314147
HH_NOT_ONLY_ADULT,0.321295467
CS_PRIOR_HOMELESS_ENROLL,-0.315512347
SN_PHYSDIS_ENTRY,0.338403402
SN_SUBSTABUSE_ENTRY,-0.284349053
BEN_VAMS_ENTRY,-0.76214672
BEN_TANFCC_ENTRY,1.780655052
INC_EARNEDINCOME_INCREASE,0.370971385
INC_EARNED_EXIT,0.691212814
INC_SSI_EXIT,0.653406982
INC_SSDI_EXIT,0.696628538
BEN_ANY_EXIT,0.545909459
BEN_SNAP_EXIT,-0.328288764
Rural,1.121168583
