"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
112,0.175589049987478,56,191,54.7772496676864,8,
179,0.480267683461751,16,24,56.9597557100506,1,
251,0.155601293135706,30,212,49.9244306247649,8,
286,0.176940003225553,6,25,51.3652757228021,8,
305,0.216475516491854,156,926,49.3205557056299,6,
385,0.395971733539373,55,154,49.6848203247813,2,
391,0.327783351512185,61,134,53.6854369034147,2,
404,0.462094996088926,10,17,53.2006697095965,1,
406,0.112046143867536,10,1464,44.4365717435733,10,
505,0.354626441558282,44,76,60.9932803536309,2,
510,0.111465976727526,22,534,47.5073442158128,10,
534,0.155752694808042,0,66,40.7756474998384,8,
568,0.198166842016623,113,933,48.1317946150892,7,
583,0.196027734107408,91,459,50.0015767635339,7,
591,0.606424610687236,27,43,50.0966784052279,1,
605,0.150448230875222,76,247,59.6725650855456,9,
637,0.115791961337504,17,285,48.4606907897945,10,
726,0.287975534418841,1,1,100,,
826,0.212032716603194,19,90,49.9997458155087,6,
1093,0.406984867493481,16,45,49.4520418446402,2,
1806,0.216584962470242,27,61,65.0561061435178,6,
1807,0.266160086813447,132,282,60.4377289068645,5,
1811,0.318982649961607,13,46,49.6954730028041,3,
1824,0.349225994081132,39,51,87.9781020341262,2,
1941,0.173890740100948,1,48,41.8461116591013,8,
1942,0.102070545337969,3,63,48.3824898638229,10,
2931,0.362422642499543,14,28,54.0955829223639,2,
2938,0.10204145807338,2,76,46.870872238465,10,
3008,0.188311849767912,71,144,80.3789415268335,7,
3139,0.321400729208228,96,270,50.2674323380102,3,
3179,0.401216455360973,19,49,49.9622863247194,2,
3210,0.39227195609012,94,174,54.5914509911166,2,
3267,0.68200582585489,98,148,49.9092165940127,1,
3316,0.276531292636149,10,281,35.490963393581,4,
3318,0.126184402689493,21,381,47.709808211468,9,
3322,0.355303275663072,2,2,100,,
3439,0.459925787258212,62,101,54.7698742964557,1,
3459,0.506765090554683,77,175,49.1083213007698,1,
3475,0.309648821455546,7,27,49.4061022602404,3,
3498,0.310227522687703,26,26,100,3,
3504,0.300668713559763,13,71,46.7130526722455,3,
3529,0.133512578450869,29,363,48.757249150677,9,
3530,0.144804004089355,46,267,50.3049140689636,9,
3564,0.173875674096705,68,328,50.3892733245972,8,
3569,0.260716444224387,28,172,47.5123784172033,5,
3676,0.192930358939756,2,27,45.4636900215462,7,
3738,0.198294282567761,10,52,49.9887279241962,7,
3749,0.0828138120960049,0,809,45.4854416045418,10,
3816,0.272254291909885,31,106,50.1029569100568,4,
3817,0.293788418519597,25,125,47.8801803042504,4,
3834,0.253313723300692,46,176,50.0171299263871,5,
3873,0.223366292378627,13,22,88.9360569524501,6,
3904,0.22674894250451,10,77,47.3235334121834,6,
3988,,15,33,,,
4027,0.275794668167582,24,84,50.0246327147021,4,
4050,0.187717190966817,34,306,48.0756450855174,7,
4094,0.320661889417407,14,36,51.0684377452889,3,
4142,0.144803823423417,16,46,66.6422313718858,9,
4144,0.0897668587181628,1,36,47.6485717717206,10,
4145,0.115301578390385,1,48,45.6256735126676,10,
4176,0.152629451833454,0,59,40.9939369403564,8,
4218,,19,47,,,
4226,0.157662352879726,11,60,50.2481079621185,8,
4261,0.423147395080096,31,51,56.9875872206939,1,
4466,0.274882691719945,118,261,57.8788401327914,4,
4500,0.264134189771698,25,70,52.2253257969251,5,
4507,0.269956708444731,2,6,51.019026504489,,
4523,0.196249910349715,43,241,49.8992650581761,7,
4564,0.230659977942682,427,989,61.3935011499619,5,
5227,0.105110590884909,14,60,58.7394536083938,10,
5269,0.278527393761386,10,27,52.0988149273099,4,
5369,0.324867622190825,4,4,100,,
5429,0.201326461028548,28,188,49.146504044752,6,
5596,0.698089796304344,93,106,57.6241219345165,1,
5761,0.218945360198123,121,285,62.3613765752909,6,
5800,0.126752961177975,2,315,43.4513040021416,9,
5887,0.322664137572551,14,30,54.744117911143,3,
5959,0.233972369525969,8,45,49.1190524805821,5,
6007,0.131085734112932,1,1259,42.5480574094667,9,
6008,0.265097255524441,16,126,45.1044123615354,5,
6029,0.269117708242234,0,90,31.5895314965828,4,
6047,0.131440550109705,36,278,49.9983446135759,9,
6115,0.163640538878437,4,44,48.0674506330164,8,
6179,0.297044971503913,108,363,50.0000541835764,3,
6186,0.167832162491897,0,1,39.9159667721319,,
6195,0.260176696903364,85,751,44.3872663431242,5,
6199,0.203458586562893,179,538,55.1544395937093,6,
6204,0.274398264199047,0,1,31.0916753185441,,
6351,0.383874984932477,5,12,50.2273205669628,2,
6452,0.44538802816375,73,134,51.9994517350489,1,
6482,0.446865307022935,5,10,50.5711087548875,,
6531,0.149407211674245,1,2,98.3596004657587,,
6571,0.219939880381138,8,37,49.9959590920719,6,
6707,0.257892957973351,0,1,32.6242749786432,,
6750,0.19018551893412,4,251,40.1429054027486,7,
6852,0.211830789800458,12,44,51.110569840134,6,
6881,0.30292114439063,3,9,50.2190049171794,,
6919,,3,8,,,
6929,0.179496689058996,55,69,100,7,
6969,0.204228696384313,0,4,37.1678775386613,,
7045,0.226789422348846,1,5,49.7953667879696,,
7047,0.266072861569751,22,97,49.6051698011411,5,
7058,0.308679572785754,16,35,55.1644116488186,3,
7069,0.29294611326148,27,27,100,4,
7138,0.100127237054377,0,229,44.4365891947533,10,
7142,0.103915685323245,2,220,45.1718175188658,10,
7252,0.273002572184172,46,208,49.3227538094533,4,
7292,0.116556395639551,0,2,43.4032916722551,,
7293,0.160240601398674,0,2,40.4591361724819,,
7311,0.444423452832271,12,26,50.0593175738432,1,
7324,0.268571883490622,28,38,100,5,
7414,0.178031825880364,17,35,82.3461677088342,8,
7427,0.293095603218053,8,128,37.1677721453521,4,
7433,0.390510698029588,1,1,100,,
7507,0.188303355585553,2,10,50.0447549183397,,
7508,0.338537036071443,10,14,81.524862952109,2,
7529,0.308242064871422,10,32,50.004251302718,3,
7591,0.120081293943294,3,64,47.4640018198565,9,
7596,0.245472419723172,19,60,51.3683020662266,5,
7650,0.160333623058319,3,7,76.7225937776106,,
7656,0.124314762603045,4,28,50.1579174916826,9,
7697,0.19361973158557,43,178,50.7364063681099,7,
7842,0.51371764827052,5,17,40.347902803475,1,
7888,,0,2,,,
7889,0.147298809869709,1,3,63.7772008441794,,
