"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
67,0.896475418480551,113,169,22.0337508698753,8,
898,0.941425970464224,14,14,53.1109206338812,4,
1494,,5,9,,,
1887,0.981131352654703,20,20,50.9615760058142,1,
3066,0.984222765382413,11,11,50.8015072995927,1,
3079,0.909789585816822,65,65,54.9577625194613,7,
3331,0.990851351123048,10,10,50.4616559722396,,
3580,0.986927242720466,3,3,50.6622958974918,,
3581,0.943179935576132,15,18,38.7423696301184,4,
4045,0.823359956660131,1,7,0,,
4278,0.972143579462013,41,42,50.0302383803686,1,
4465,,0,173,,,
5408,0.900810102453908,45,49,50.1724971913054,8,
5921,0.935724262702671,37,37,53.4345447617058,5,
6083,0.951224724116813,16,16,52.5638145564642,3,
6253,0.892077711372783,63,70,50.0325954882387,9,
6266,0.966611928121653,9,11,15.8673087186946,2,
6271,,20,20,,,
6284,0.918239483712818,1,1,54.4520257371525,,
6295,0.918836402246538,25,26,51.222554307922,7,
6414,0.906669142777599,0,10,0,,
6467,0.959025531794398,29,33,41.8081320513045,2,
6551,0.936474554142888,23,25,49.7718851064553,5,
6597,0.962184691495627,10,10,51.9650753560417,,
6645,0.928862303812498,35,35,53.8292918065207,6,
6736,0.951631994394022,77,85,47.7263784398725,3,
6828,0.985002494915478,9,9,50.7612927460559,,
6832,0.990019250619373,10,10,50.5040684499005,,
6833,,1,2,,,
6865,0.830110156272198,41,62,39.8955240104683,10,
6867,0.901130082949256,74,77,52.014191317875,8,
6869,0.90789604112778,109,126,48.9038209886625,8,
6878,0.959735575152289,1,1,52.0976832520417,,
6907,0.982065447742726,2,2,50.9131037192326,,
6920,0.928699400010045,75,79,50.3225414051758,6,
6991,0.936054361313199,3,3,53.4157011242964,,
7201,0.976363085228645,31,31,51.2104572125348,1,
7228,0.946435072636674,43,45,50.0820416387814,4,
7230,0.951935091737817,33,38,42.378270575992,3,
7231,0.954117798770749,20,21,49.9965545450007,2,
7335,0.974564031918826,10,10,51.3049921425426,,
7352,0.932261206475964,45,45,53.6330372353525,6,
7374,0.860907055457411,224,264,49.9355673255658,10,
7392,0.923059512410354,1,1,54.1676883535241,,
7400,,4,4,,,
7406,0.853685244694607,20,32,29.0656060980843,10,
7415,0.885019681445976,156,156,56.4959187329125,9,
7417,0.949460810234005,32,32,52.6614679205948,3,
7421,0.940896726086,58,58,53.1407949605618,5,
7497,0.949685936915403,4,5,26.5543321850286,,
7511,0.921331067133955,79,83,50.6407248531497,7,
7556,,27,27,,,
7582,0.848962805818109,7,9,48.0240554526375,,
7597,0.840714765796736,502,564,50.9095539631931,10,
7605,0.940684558794853,147,154,50.1721633950367,5,
7653,0.927973205341897,0,1,0,,
7862,0.885942909298433,9,10,50.097776136398,,
8092,0.875682156968372,10,13,44.7953360656476,9,
