"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
590,0.939665154841991,120,126,50.1425988057388,1,
3143,0.825665576842866,77,92,50.0442836339718,8,
4658,0.860674260054614,5,5,58.0939878425402,,
5134,0.890938416597204,98,100,54.0816084843013,4,
5555,0.847930062448137,26,32,49.5132449797784,7,
5977,0.921423122354903,0,21,0,2,
6254,0.865844395921963,156,194,48.360230501911,6,
6341,0.902460375759092,26,26,55.4040945653079,3,
6569,0.952352452313907,2,2,52.5015711132116,,
6690,0.877289331094719,95,113,49.3784662991874,5,
6696,0.911204644531104,99,118,46.7767205108794,3,
6697,0.85662597464517,44,47,52.5758806681415,7,
6698,0.895060524309115,222,228,53.2906789568399,4,
6701,0.928402255483151,36,39,49.9786681795669,1,
6702,0.935089532586284,3,3,53.4708156359202,,
6703,0.928662896232126,14,14,53.8408503267069,1,
6719,0.867268125307297,128,131,55.2395277763136,6,
6733,0.934299966064139,50,56,48.6010031272157,1,
6746,,3,3,,,
6770,0.916729180279181,4,5,41.0752721758306,,
6771,0.761921618512969,19,24,50.2438760202599,9,
6775,0.913901076061961,18,18,54.7105166080471,3,
6785,0.850318126588017,102,127,49.125974986794,7,
6786,0.868344669259418,87,99,50.0476987937777,6,
6810,0.872502894571597,8,8,57.3064001404262,,
6834,0.923952763958671,3,3,54.1153205557557,,
6866,0.787899573590555,180,220,50.274368167841,9,
6876,0.737655626476163,100,166,45.2740037592741,10,
6883,0.756177795688902,172,219,50.2313906582741,10,
6932,0.868382836016268,54,56,54.0235511617,5,
6938,0.894600548017451,21,21,55.890866723485,4,
6973,0.905026647967744,10,10,55.2469920220317,,
6988,0.814607876469104,11,11,61.3792248323496,9,
6992,0.894684044474191,13,15,49.5834557799496,4,
6997,0.929018269117446,3,6,0,,
7030,0.794793760257016,0,1,0,,
7043,0.92349486170334,18,26,12.1755717831996,2,
7044,0.863930979320026,51,53,54.1127450839083,7,
7048,0.871306716151384,27,28,53.8548970520313,5,
7068,0.814808847794645,15,15,61.3640857427231,8,
7079,0.929779394762147,30,33,49.6722196426168,1,
7160,0.907698479442442,108,117,50.1411381144824,3,
7319,0.917570053547666,20,20,54.4917522173718,2,
7326,,0,1,,,
7329,0.928664537171032,2,2,53.8407551905813,,
7351,0.864342529978376,50,58,49.9977957799318,6,
7367,0.831412109519186,9,13,43.0974569434041,8,
7370,0.719605167233098,10,19,40.7419035462624,10,
7372,0.860921570571079,48,55,50.0582009779217,7,
7375,0.766329459499656,404,572,48.9936004189118,9,
7376,0.911671752076691,33,35,50.6038572307038,3,
7377,0.906987094028424,4,4,55.1275760473313,,
7386,0.915465512096126,10,13,36.183589698983,2,
7397,0.879915843866869,2,3,28.4812081618033,,
7399,0.883260320943097,33,35,51.7223007488029,5,
7401,0.777388329745689,20,44,19.8861368559522,9,
7407,,8,48,,,
7416,0.677579834823915,48,68,50.1833316679614,10,
7418,0.705855102626779,20,36,44.5598801142498,10,
7422,0.818607899500887,2,2,61.0793030833021,,
7477,0.661562914334835,0,2,0,,
7505,0.823514788839817,10,14,45.8954382761434,8,
7539,0.840256146592542,4,5,49.3963314484504,,
7584,0.892082294443385,16,16,56.0486407043843,4,
7587,0.847418619283806,26,48,13.8499468375893,8,
7632,0.867512062619325,13,20,29.4181297232684,6,
7639,0.923124558370903,2,2,54.1638715453938,,
7648,0.664340867052354,0,1,0,,
7652,0.904295843651855,2,2,55.291639733832,,
7657,0.922571820908529,50,52,51.0628126271699,2,
7721,0.72685664361659,2,2,68.7893554239486,,
7753,0.873875585053972,59,59,57.2163828068408,5,
