"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
35,0.632830606821744,11,21,47.442373983857,4,
37,0.797567639712461,6,10,37.9120080051275,,
73,0.753862978325053,14,16,53.9541617491164,1,
74,,2,2,,,
75,0.797091436268843,3,3,62.7280607028577,,
76,0.886212297221716,4,4,56.4198896322591,,
97,0.586341034755913,28,33,64.1663021552222,4,
101,0.627404551612413,16,37,41.8692647814909,4,
130,0.72766996062745,56,69,51.7771122730068,2,
137,0.557711776083537,201,412,49.0110848883625,4,
139,0.517886734904531,3,8,45.9114439042166,,
140,0.449621905219622,15,47,46.560443142699,6,
142,0.32972595643668,50,132,50.5445698431903,8,
157,0.36621762221124,4,11,49.9985646638278,8,
174,0.240999386242112,26,96,50.243295104949,10,
176,0.378199440630937,47,157,48.6785479818328,7,
202,0.325107416689114,85,141,67.5773086855708,8,
206,0.251736281431729,30,45,95.7003980004844,10,
215,0.766687394581184,18,33,36.3191619231215,1,
228,0.492447301772865,13,19,57.3563053676997,5,
250,0.594139662644499,38,67,49.8491159532409,4,
252,0.446658496791766,4,10,49.559584449843,,
268,0.420183782377494,10,24,49.997461286615,6,
304,0.41033222705934,12,29,50.002475136531,7,
311,0.750256353161494,12,17,49.4745601152226,2,
341,0.466478611519331,14,15,93.7874793255953,5,
367,0.568084348098395,31,43,54.7606443362861,4,
390,0.763705997599797,34,44,50.0225489830677,1,
508,0.781512161597472,4,17,0,1,
511,0.307674246408549,8,30,49.6052731690792,9,
554,0.688531789907142,28,32,58.1066586169524,3,
567,0.647147088101825,30,41,51.5656893510455,3,
588,0.757889185728687,30,39,50.0350507645102,1,
633,0.320718705998965,38,124,49.9532838495548,9,
645,,4,4,,,
647,0.272490695319278,8,110,39.9350478265482,10,
666,0.727382767321913,4,6,49.0704742267952,,
717,0.26501141499022,11,30,52.652677593531,10,
1804,0.432070601869902,41,51,78.1746653516825,6,
1816,,1,2,,,
1877,0.675040478011663,43,63,50.0128186213286,3,
1879,0.625678466067554,16,22,52.2034963591413,4,
1880,0.73935349851051,13,22,44.2826648154574,2,
1900,0.701595754109924,38,43,57.9216932894357,2,
1910,0.687192710651898,0,2,0,,
1912,0.454752135749838,25,72,47.6683686987216,6,
1929,0.307443493175859,18,43,52.9017207070806,9,
1935,0.583382706395434,7,20,38.7948802137368,4,
1939,0.35951909209463,38,94,50.4345708239995,8,
1940,0.481393167585899,10,34,42.9758484378567,5,
1948,0.776086708382204,16,18,53.6611276724232,1,
2968,0.422813644112332,22,39,54.0899798221811,6,
2991,0.555951407689298,35,62,50.0148569324112,4,
3009,0.414067037300177,6,6,100,,
3040,0.76690246417146,13,24,35.8105023686556,1,
3070,0.711403376597193,6,6,70.283613551515,,
3084,0.620428942951092,29,31,71.0745068064296,4,
3085,0.702844755363192,8,11,50.1428571625858,2,
3098,0.697341957121873,16,16,71.7008341307385,2,
3106,0.232255783658018,4,81,40.6225142405543,10,
3213,,0,1,,,
3241,0.244105445182372,4,17,49.9789615368988,10,
3271,,5,5,,,
3280,0.680178819328292,7,17,33.4403797370096,3,
3317,0.315151158525592,21,86,48.8333350350456,9,
3320,0.401079834209665,37,149,45.1429073635266,7,
3384,0.715744146987389,7,16,30.9736773094875,2,
3404,0.42843910491622,2,7,45.8407272917127,,
3427,0.807975465796695,22,32,45.3225156983683,1,
3461,0.908532682965781,2,3,14.8023869804795,,
3476,0.306037684423618,9,68,42.8979691982473,9,
3562,0.212545262885834,5,19,50.7652631774458,10,
3615,0.798690199581976,5,10,22.2560254900135,,
3701,0.44137165415487,8,10,76.0814554559175,,
3767,0.531466951115011,2,9,30.7974845875131,,
3769,0.692826618329315,18,23,51.8938307322372,2,
3775,0.687732253103431,18,21,56.6819721973678,3,
3798,0.28235253345019,1,5,48.3265178372588,,
3920,0.369412988180722,2,16,37.1778343363515,7,
3923,0.292777610879948,12,14,100,9,
3987,0.394496244966196,17,43,50.0001521573879,7,
4019,0.38904427762581,4,91,24.9492035062243,7,
4034,,12,20,,,
4213,0.220797547289761,14,19,100,10,
4269,0.658115094792885,22,34,49.9728352572349,3,
4291,0.683273924395875,9,11,54.2050005945702,3,
4301,0.454654404429806,15,39,49.0107708375135,6,
4316,0.34637406816628,6,20,49.5250523402888,8,
4317,0.690620869086452,36,36,72.3986230913346,3,
4344,0.393051824890548,28,65,50.298161941634,7,
4377,0.75934715386049,8,12,47.6497435746231,1,
4476,0.338006005521965,41,93,52.3639358108173,8,
4558,,1,1,,,
5259,,2,8,,,
5466,0.3675103578245,57,154,50.0014760052042,8,
5572,,5,10,,,
5576,,7,15,,,
5579,0.383768706317377,5,21,45.5133972583619,7,
5619,0.379046485020029,18,35,53.885293351404,7,
5709,0.418202406343067,131,291,50.2100298072715,6,
5726,0.352436861750531,2,7,49.0246686805496,,
5746,0.250956520309674,3,45,40.9662650796196,10,
5748,0.424889486145713,4,10,49.8732422348792,,
5765,0.341773008064962,5,17,49.4952456345088,8,
5801,0.286335927874614,0,26,29.9390260026775,9,
5806,0.468549242112935,7,7,100,,
5865,0.426262693643989,23,87,44.6414682970497,6,
5866,0.309499253667214,1,3,50.1329055200742,,
5908,0.505811800221919,3,19,25.7874720934998,5,
5996,0.314847051795343,3,18,44.9106270060403,9,
6009,,5,13,,,
6032,0.705279630405865,3,5,47.3338338297471,,
6046,0.237473217999793,1,2,69.0303815269842,,
6100,0.526318808937769,41,68,51.1774598514319,5,
6213,0.701888384792385,11,15,50.2362788388248,2,
6236,0.539940606899478,2,13,19.99475092033,4,
6303,0.393683363224828,11,15,74.1649899301401,7,
6320,,2,8,,,
6330,0.275946407128714,3,17,47.5236638732389,9,
6338,,0,1,,,
6349,0.246811745400352,2,6,52.0134905936627,,
6370,0.767237498338605,24,32,49.9168091345872,1,
6396,0.242269465605077,4,13,51.1657766384277,10,
6465,0.707930259928114,16,16,70.6284260332045,2,
6501,0.655594761339009,2,6,27.0024572210097,,
6545,0.777555921362828,3,5,40.8864445067748,,
6546,0.511735098805522,11,26,48.4270791315583,5,
6559,,3,17,,,
6583,0.53663946839794,4,14,37.3393252149357,5,
6656,0.497235974156132,2,6,44.6270206714773,,
6659,0.792873481021486,27,27,63.0617635686129,1,
6665,0.906765291336587,0,1,0,,
6798,0.766158011078722,7,7,65.2606894100107,,
6802,0.793904481941317,4,4,62.9798686584261,,
6853,0.688078705543835,16,19,55.5268551289246,3,
6854,0.721959712417652,13,17,50.4551386614313,2,
6950,0.440634942338884,0,7,10.612936372776,,
6965,,1,1,,,
6987,0.289411047039487,26,76,50.6750910416071,9,
7139,0.461380973993987,20,55,48.0777305140743,5,
7181,0.368720083962304,27,118,45.7953759034326,8,
7334,0.475638939379874,1,11,20.3261476100906,5,
7371,0.453064850365772,13,27,50.162936723416,6,
7435,0.246694094693205,0,1,33.6259019771831,,
7448,,4,19,,,
7449,0.434107005626325,3,11,44.6992554323734,6,
7450,0.529071348168528,25,64,46.1535184234689,5,
7451,,2,3,,,
7452,,2,2,,,
7504,0.72734631938885,0,3,0,,
7510,0.571171375151325,1,2,48.9659762422932,,
7532,0.916362368582046,2,2,54.5635675517412,,
7545,0.343469578734653,4,22,44.205902536935,8,
7548,0.520662616052205,7,9,63.2442594905484,,
7549,0.324104529024637,5,8,70.6650599649964,,
7559,0.725541138280326,7,8,55.608852835165,,
7560,0.856856133164332,3,3,58.3528530225397,,
7561,0.32504396743363,7,23,49.9023817148177,8,
7562,0.64680898187369,31,48,49.9997916607435,3,
7592,0.23841151171595,4,43,44.1792216054827,10,
7633,0.702689934446783,1,1,71.1551390576901,,
7649,0.424830180264238,12,36,48.2869469632766,6,
7714,0.753952927835606,8,8,66.3171375214849,,
7754,0.339064221402342,2,7,49.3649665855614,,
