Parameter,Estimate
Intercept,-1.2644
PE_LENGTH_OF_STAY,-0.00995
DEM_RACE_NONWHITE,0.4844
DEM_ETHNICITY_LATINO,-0.5247
DEM_GENDER_MALE,0.3148
AGE_18TO24_ENTRY,-0.5782
HH_HAS_CHILDREN,-0.58
CS_PNR_HOMELESS,-0.3716
CS_PRIOR_HOMELESS_ENROLL,1.4376
SN_PHYSDIS_ENTRY,-0.3626
SN_CHRONHEALTH_ENTRY,-0.3304
SN_SUBSTABUSE_ENTRY,-0.3296
SN_DV_ENTRY,-0.5134
INC_ONE_ENTRY,-1.674
INC_MULTIPLE_ENTRY,-2.6695
INC_EARNED_ENTRY,1.2642
INC_UNEMPINS_ENTRY,2.2617
INC_SSI_ENTRY,1.3969
INC_SSDI_ENTRY,1.2585
INC_TANF_ENTRY,1.5326
INC_SS_ENTRY,1.0822
INC_OTHERSOURCE_ENTRY,1.4968
BEN_MULTIPLE_ENTRY,-1.0543
BEN_MEDICAID_ENTRY,1.4564
BEN_OTHER_ENTRY,1.8605
INC_EARNEDINCOME_INCREASE,-0.4913
INC_UNEMPINS_EXIT,-1.5502
INC_VETDISPMT_EXIT,1.1825
INC_CHILDSUPPORT_EXIT,1.1116
BEN_ONE_EXIT,-0.7209
BEN_SNAP_EXIT,0.8112
BEN_MEDICAID_EXIT,-1.1544
BEN_VAMS_EXIT,0.7955
