"PROGRAM_KEY","p","dest_perm","n","adjscore","decile","exclude"
56,1,4,4,,,
112,0.573515862808016,38,62,50.3171286643861,7,
179,0.260617006687624,4,5,100,,
251,0.408833421887047,16,34,50.7889606937461,1,
286,0.77776139047453,6,9,46.4298128689946,,
305,0.531720759640785,104,129,65.1288318190327,6,
385,0.558425167409116,19,24,61.0309358008484,7,
391,0.563491489262437,16,24,52.1639158909181,7,
404,0.5,3,3,100,,
406,0.399180235618695,16,31,52.8513352188179,1,
505,0.487543947720503,13,13,100,4,
510,0.567438859838109,23,52,46.810413222177,7,
534,0.895939544568936,1,2,0,,
568,0.505324428059847,62,127,49.9412685991001,5,
583,0.498667833531238,49,64,64.2533269254703,5,
591,0.533234626141445,7,9,62.0133475118978,,
605,0.421027998721168,76,108,66.3899803340838,2,
637,0.428572515198123,24,37,59.8885009037847,2,
726,0.267263713957452,1,1,100,,
826,0.545135081638976,24,32,58.4628885147809,6,
1093,0.666666666885227,6,7,58.163265290065,,
1806,0.549358602073257,21,26,63.4786109196641,6,
1807,0.485493003992415,84,109,66.2757140931192,4,
1811,0.420301627072867,10,12,85.0085105973923,2,
1824,0.687454451462792,14,17,54.3089275368407,10,
1941,1,1,1,,,
1942,0.540809019595598,4,6,53.1892748333376,,
2931,0.143171960888787,6,7,100,,
2938,0.999990514151352,2,2,50.0004742969315,,
3008,0.509611132222371,122,152,67.1785438335741,5,
3139,0.554335120916937,56,64,70.8109541012516,7,
3179,,3,3,,,
3210,0.55000000152567,115,143,63.0536376030192,6,
3267,0.592284703721733,33,35,75.4470839731649,8,
3316,0.551131519513133,12,20,50.4826733441202,6,
3318,0.660254936285225,14,22,49.8727713987259,10,
3322,0.828440553178566,3,4,47.8354116704652,,
3439,0.125,18,19,100,1,
3459,0.450733945136931,76,90,81.3055235276394,2,
3475,,6,8,,,
3498,0.499952720636967,6,6,100,,
3504,0.361984472328647,14,15,100,1,
3529,0.460422213760666,31,49,55.9700992452397,3,
3530,0.537353133695901,50,72,54.9632359332505,6,
3564,0.458633786058923,70,86,75.4244396789769,3,
3569,0.431874139320226,19,31,56.6782852685315,2,
3676,0.334467344735965,2,3,74.7881659882958,,
3738,0.524760664220623,13,17,61.5430492759822,5,
3816,0.624133941980501,10,14,51.7322382807528,9,
3817,0.395054171054261,20,29,68.1578867693012,1,
3834,0.610887913040783,30,38,56.7085314102816,8,
3873,0.666666666402158,14,16,59.765625020923,10,
3904,0.630984328253087,7,9,54.6272181333771,,
3988,,10,17,,,
4027,0.622241045193505,20,27,52.9869713017793,9,
4030,0.520785743094742,4,4,96.0087726343614,,
4050,0.595037166609266,28,38,54.1724722550393,8,
4094,0.444384466931122,12,14,84.5007531336274,2,
4142,0.64999976220313,18,22,56.2165263920006,9,
4144,1.24956504405173e-07,2,2,100,,
4145,1.64042792694418e-23,1,2,100,,
4218,,65,96,,,
4226,0.799763135648024,10,13,49.7089379940389,10,
4261,0.400355177779521,10,12,89.0447313361889,1,
4395,0.0501112185217135,0,2,47.3622586402312,,
4466,0.484094029524258,51,58,81.270833246722,4,
4500,0.702881047476821,7,10,49.9980127219025,,
4507,1,2,2,,,
4523,0.456781003275458,28,38,65.8049311344575,3,
4564,0.491768459325236,306,397,65.5738045625795,4,
5227,,13,16,,,
5269,0.570037299716576,7,8,68.9727112580555,,
5369,0.99373567244991,0,1,0,,
5429,0.455653286829873,33,42,71.9608078159349,3,
5596,0.612941744545711,28,28,81.5738207503848,8,
5761,0.625896341938313,69,78,64.2932973068286,9,
5800,0.223243160254487,1,2,72.0853091047806,,
5887,0.428946238620954,6,8,71.0399967642157,,
5959,0.665656044111078,15,18,56.3164801624642,10,
6007,,1,1,,,
6008,0.666666666666667,15,22,50.051652892562,10,
6047,0.5974893130469,38,72,48.9896502421788,8,
6115,0.76398821802211,2,6,0,,
6179,0.652322325208106,43,51,58.0270443223151,9,
6186,0.42528860109048,1,1,100,,
6195,0.460215313643154,19,30,56.032161079698,3,
6199,0.490641150180864,144,189,64.7219472768895,4,
6204,0.454551442020404,5,11,49.9999999927703,3,
6351,0.500038460715313,3,5,51.9984618790575,,
6452,0.642857151386897,22,24,66.3271596498846,9,
6482,,4,6,,,
6531,0.801261902804144,1,1,62.4015691062023,,
6571,4.36960988578549e-11,4,6,100,,
6750,0.586067168971248,3,10,33.1333523119889,,
6852,1.23926828899731e-12,8,9,100,,
6881,0.750001855740721,2,4,33.3330034210147,,
6919,0.505940280764581,6,7,74.672132346725,,
6929,0.57448555720772,60,69,67.8096396928199,7,
7045,0.251097747415859,3,4,100,,
7047,0.368180813761545,17,21,91.8666795595188,1,
7058,0.617549676791051,7,7,80.9651464151241,,
7069,0.5561844601641,4,4,89.8982326569278,,
7142,0.384966375324968,2,3,66.7580290453022,,
7252,0.464122383248078,22,23,98.7423906152091,4,
7311,0.613649803078441,11,15,53.0209048680599,8,
7324,0.529553895934836,18,20,77.5422885523825,5,
7414,0.693106668486923,13,13,72.1389683194822,10,
7427,4.88555780205637e-08,2,2,100,,
7507,6.7123766968504e-87,2,2,100,,
7508,1,1,1,,,
7529,0.559486486391113,5,6,65.2137633680112,,
7591,,1,1,,,
7596,0.446985813959346,9,9,100,,
7656,0.00272597342177803,2,2,100,,
7697,0.529829851913163,37,52,56.6271917953324,5,
7842,0.409689285711311,1,1,100,,
