AGENCY_NAME,PROGRAM_NAME,AGENCY_KEY,PROGRAM_KEY,COUNTY
"A Higher Calling, Inc. ",Transitional Housing,3347,6950,
Action Ministries N. GA Trans. Housing,Augusta Transitional Housing,2928,6213,Richmond
Action Ministries N. GA Trans. Housing,BOS Transitional Housing,2928,130,Floyd
Action Ministries N. GA Trans. Housing,DCA ESG Rapid ReHousing,2928,7370,
Action Ministries N. GA Trans. Housing,Maxwell House SPC,2928,6651,
Action Ministries N. GA Trans. Housing,Mountain Initiative Trans. Housing,2928,6370,
Action Ministries N. GA Trans. Housing,Rural Initiative,2928,6802,
Action Ministries N. GA Trans. Housing,Rural Initiative-Putnam County,2928,7532,Putnam
Action Ministries N. GA Trans. Housing,SSVF - Prevention,2928,6869,
Action Ministries N. GA Trans. Housing,SSVF - Rapid ReHousing,2928,6876,
Action Ministries N. GA Trans. Housing,Transitional Housing DeKalb,2928,3384,DeKalb
Action Ministries N. GA Trans. Housing,Welcome House,2928,6990,
Advantage Behavioral Health Systems,171 - ACC SPC (8 unit),2389,1815,
Advantage Behavioral Health Systems,173 - DCA SPC (25 unit) S+CR,2389,3376,
Advantage Behavioral Health Systems,174 - Oconee Supportive Housing,2389,1816,Oconee
Advantage Behavioral Health Systems,175 - DCA SPC (17 units) BoS,2389,3450,
Advantage Behavioral Health Systems,183 - ACC SHP (2 unit) ,2389,6355,
Advantage Behavioral Health Systems,187 - Rapid Re-Housing (II),2389,6770,
Advantage Behavioral Health Systems,189 - Rapid Re-Housing,2389,6771,
Advantage Behavioral Health Systems,194 -- ACC SPC (14 units),2389,7023,
Advantage Behavioral Health Systems,197 - ACC SHP (4 Units),2389,6901,
Advantage Behavioral Health Systems,198 - Barrow DCA SPC (10 Units),2389,6903,Barrow
Advantage Behavioral Health Systems,199 - Jackson County SPC (20 Units),2389,6904,Jackson
Advantage Behavioral Health Systems,2013-2014 Rapid Re-Housing,2389,7397,
Advantage Behavioral Health Systems,ABHS Harm Reduction,2389,7546,
AIDS Alliance of Northwest Georgia,Narnia,6726,5334,
AIDS Athens,Facility Based-ML -COA,2393,6304,
AIDS Athens,Homeless Hotel Voucher,2393,4507,Clarke
AIDS Athens,HOPWA - TBRA BOS,2393,3331,
AIDS Athens,HOPWA -STRMU - Atlanta,2393,3581,
AIDS Athens,HOPWA-STRMU-BOS,2393,5408,
AIDS Athens,HOPWA-TBRA - Atlanta,2393,3580,
AIDS Athens,MAC Housing,2393,6569,
AIDS Athens,Permanent Housing Placement,2393,4658,Clarke
AIDS Athens,PH-SHP,2393,6056,
AIDS Athens,PH-SPC,2393,760,
AIDS Athens,Short Term Supportive Housing,2393,5887,
AIDS Athens,Transitional Housing,2393,6303,
Albany Area Community Service Board,AACSB,3467,7538,Dougherty
Another Chance Inc.,Another Chance - SSVF,3361,7477,
Another Chance Inc.,Another Chance of Atlanta,3361,3008,
Another Chance Inc.,Freedom Way Permanent Housing,3361,3627,
Another Chance Inc.,Next Step,3361,3009,
Asian American Resource Center,Transitional Housing Program,3628,1948,DeKalb
Athens Area Homeless Shelter/Job TREC program,Almost Home,2386,179,Clarke
Athens Area Homeless Shelter/Job TREC program,Going Home 2012-2013,2386,6696,
Athens Area Homeless Shelter/Job TREC program,Going Home HP,2386,7335,
Athens Area Homeless Shelter/Job TREC program,Going Home RR,2386,7399,
"Atlanta Center for Self Sufficiency, Inc.",ACSS Rapid Re- Housing,11608,6697,
"Atlanta Center for Self Sufficiency, Inc.",City of AtlantaESG Rapid Re-housing,11608,7753,
Atlanta Housing Authority,VASH,13988,7183,
Atlanta Mission - Fuqua Hall,New Start,64,633,Fulton
Atlanta Mission - My Sister's House,Emergency Shelter,1641,3210,Fulton
Atlanta Mission - My Sister's House,NewStart,1641,3213,Fulton
Atlanta Mission - My Sister's House,Over Night Shelter,1641,6008,Fulton
Atlanta Mission - Shepherd's Inn,Job Attainment,1640,7591,Fulton
Atlanta Mission - Shepherd's Inn,Men's Emergency Shelter,1640,637,Fulton
Atlanta Mission - Shepherd's Inn,Over Night Shelter,1640,6007,Fulton
Atlanta Mission - Shepherd's Inn,Pre-New Start,1640,7592,Fulton
Atlanta Mission - The Carpenter's House,AfterCare,3186,3271,Fulton
Atlanta Mission - The Carpenter's House,New Start,3186,645,Fulton
Atlanta Mission - The Carpenter's House,PDP,3186,647,Fulton
"Atlanta Outreach Project, Inc.",DOORofHOPE-Men (LIGHTHOUSE II),8748,4476,
"Atlanta Outreach Project, Inc.",DOORofHOPE-Women (LIGHTHOUSE II),8748,6396,
"Atlanta Outreach Project, Inc.",HERO'S HAVEN-AOP Vet Perm Housing,8748,7937,
"Atlanta Outreach Project, Inc.",NEXT LEVEL-Atlanta (LIGHTHOUSE),8748,7537,
"Atlanta Outreach Project, Inc.",NEXT LEVEL-Dekalb (LIGHTHOUSE),8748,6496,DeKalb
"Atlanta Outreach Project, Inc.",NEXT LEVEL-DOH Atlanta (LIGHTHOUSE),8748,7536,
"Atlanta Outreach Project, Inc.",NEXT LEVEL-DOH Dekalb (LIGHTHOUSE),8748,4477,DeKalb
"Atlanta STEP UP Society, Inc",Graham Street,12108,6320,
"Atlanta STEP UP Society, Inc",Newnan Street,12108,6482,
Augusta Rescue Mission,Overnight Men's Shelter,2706,5800,Richmond
Augusta Rescue Mission,Resident Program,2706,5801,Richmond
"Augusta Stepping Stones to Recovery, Inc. (Parkway Place)",Parkway Place,9010,6236,Richmond
Avita Community Partners,Supported Apartments,5326,4200,
Avita Community Partners,Supported Apartments 311,5326,6227,
Avita Community Partners,Supported Apartments 312,5326,6463,
"Breakthru House, Inc",DeKalb/ESG,2927,6330,DeKalb
Brother Charlie Rescue Center,Brother Charlie Emergency Shelter,4208,3459,Tift
Brother Charlie Rescue Center,Brother Charlie Transitional,4208,3461,Tift
Buckhead Christian Ministry,The 70/30 Project,921,4278,
Buckhead Christian Ministry,Transitional Housing,921,311,Fulton
"C.A.R.E., Inc.",Facility-Based Housing,6347,3322,Wayne
"C.A.R.E., Inc.",Shelter + Care,6347,3778,
"Calvary Refuge, Inc.",Emergency Night Shelter,3546,568,Clayton
"Calvary Refuge, Inc.",Transitional Housing,3546,567,Clayton
CaringWorks -  Hope House,CaringWorks - PCCI SHP,4287,5619,Fulton
CaringWorks -  Hope House,Eagle Transitional Housing,4287,1912,Fulton
CaringWorks -  Hope House,Falcon Transitional Housing,4287,3476,Fulton
CaringWorks -  Hope House,Phoenix Emergency Shelter,4287,2938,Fulton
"CaringWorks, Inc.",CaringWorks Housing Connection,4288,5134,Fulton
"CaringWorks, Inc.",CaringWorks SHP - Shamrock Gardens,4288,6226,
"CaringWorks, Inc.",CW City Of Atlanta Rapid Re-Housing,4288,7632,
"CaringWorks, Inc.",MOVE-SHP,4288,6912,
"CaringWorks, Inc.",Seven Courts,4288,4146,
"CaringWorks, Inc.",SPC I (Atlanta),4288,3943,
"CaringWorks, Inc.",SPC I (DeKalb),4288,7446,DeKalb
"CaringWorks, Inc.",SPC II (Atlanta),4288,6164,
"CaringWorks, Inc.",SPC II (Dekalb),4288,7447,DeKalb
"Carroll County Emergency Shelter, Inc.",Carroll County Emergency Shelter,3226,505,Carroll
"Carroll County Emergency Shelter, Inc.",Good Samaritan Transitional House,3226,3084,Carroll
Carrollton Housing Authority,CHA Shelter + Care,10128,5405,
Center for Pan Asian Community Services Inc.,DeKalb ESG Prevention,4227,1887,DeKalb
Central City AIDS Network (Rainbow Center),CCAN Owned Housing,2112,5551,
Central City AIDS Network (Rainbow Center),DH - Transitional Housing,2112,97,Bibb
Central City AIDS Network (Rainbow Center),Shelter Plus Care,2112,1870,
Central City AIDS Network (Rainbow Center),TBRA,2112,1872,
"CHRIS Kids, Inc",Transitional Housing Program,3148,7545,
"CHRIS Kids, Inc",TransitionZ,3148,6415,
City of Hinesville Next Step Program,2013-2014 DCA ES/Hotel Vouchers,6391,7252,Liberty
City of Hinesville Next Step Program,2013-2014 ESG Rapid Re-Housing,6391,7329,Liberty
City of Hinesville Next Step Program,2013-2014 UW Hotel Voucher Program,6391,7596,Liberty
City of Hinesville Next Step Program,2014 Donated Funds,6391,8089,Liberty
City of Hinesville Next Step Program,City of Hinesville NSP/TSH Housing,6391,4377,Liberty
City of Hinesville Next Step Program,HUD Supportive Housing,6391,4317,Liberty
City of Refuge,Eden Village I,8548,4466,Fulton
City of Refuge,Eden Village II,8548,4523,Fulton
City of Refuge,Eden Village II/PATH,8548,5865,
City of Refuge,Eden Village III - Overflow,8548,6195,
City of Refuge,Eden Village/Special,8548,5866,
"Clifton Sanctuary Ministries, Inc.",Joe`s Place,72,252,DeKalb
"Clifton Sanctuary Ministries, Inc.",Night Hospitality,72,251,DeKalb
Cobb/Douglas Community Services Board,Douglas CSB S+C#4 (Transfer Grant),4286,6225,Douglas
Cobb/Douglas Community Services Board,Douglas CSB Shelter Plus Care,4286,3839,Douglas
Cobb/Douglas Community Services Board,PH-Mix-SPC Combined Cobb,4286,8213,Cobb
Cobb/Douglas Community Services Board,PH-SMF-SPC9/ # 1,4286,3842,
Cobb/Douglas Community Services Board,PH-SM-SPC7 / # 3,4286,3844,
Cobb/Douglas Community Services Board,SHP,4286,3841,
Cobb/Douglas Community Services Board,TH-FC- LTFS,4286,3070,Cobb
Cobb/Douglas Community Services Board,TH-SMF-MAG,4286,1910,
Community Assistance Center,Emergency Assistance,2750,1494,
Congregation Shearith Israel Night Shelter,Shearith Israel Shelter,2669,286,DeKalb
"Covenant Community, Inc.",Life Stabilization Program,7246,3475,Fulton
"Covenant Community, Inc.",Transitional Housing,7246,3798,Fulton
Covenant House Georgia,Crisis Shelter,3566,583,Fulton
Covenant House Georgia,Rights of Passage - South Fulton,3566,6041,
Covenant House Georgia,ROP Cottages Shelter + Care,3566,7223,
Covenant House Georgia,ROPAL,3566,7526,
Crossroads Community Ministries,Angels Permanent Supportive Housing,74,6234,
CSB of Middle Georgia,Shelter Plus Care,6366,2969,
CSRA EOA,DCA Transitional Housing,2159,37,Richmond
CSRA EOA,ESG Prevention FY 2014,2159,7421,
CSRA EOA,ESG Rapid ReHousing I,2159,6701,
CSRA EOA,ESG Rapid Re-Housing II,2159,7160,
CSRA EOA,Home Plus Supportive Housing,2159,35,Richmond
CSRA EOA,Shelter + Care,2159,3664,
Dalton-Whitfield Community Development Corp.,13/14 Emergency Shelter Vouchers,6926,7414,
Dalton-Whitfield Community Development Corp.,13/14 Rapid Rehousing,6926,7422,
Dalton-Whitfield Community Development Corp.,Dalton-Whitfield Rapid Re-Housing,6926,6932,Whitfield
Dalton-Whitfield Community Development Corp.,Emergency Shelter Vouchers,6926,7324,
Dalton-Whitfield Community Development Corp.,SPC 100 (GA0207C4B011100),6926,7224,
Dalton-Whitfield Community Development Corp.,SPC 204 (GA0134L4B011204),6926,3697,
Dalton-Whitfield Community Development Corp.,SPC SAM  (GA0048C4B010800),6926,6562,
Decatur Cooperative Ministry,Candler Forest PSH,1343,7506,
Decatur Cooperative Ministry,DCA ESG,1343,6253,
Decatur Cooperative Ministry,DeKalb ESG,1343,6295,DeKalb
Decatur Cooperative Ministry,DeKalb Human Service,1343,7228,DeKalb
Decatur Cooperative Ministry,EFSP,1343,7231,
Decatur Cooperative Ministry,Family Transitional Housing,1343,390,DeKalb
Decatur Cooperative Ministry,Hagar's House,1343,391,DeKalb
Decatur Cooperative Ministry,Home Depot Foundation,1343,7582,
Decatur Cooperative Ministry,SSVF Program,1343,6865,
Decatur Cooperative Ministry,United Way,1343,7230,
Dekalb Community Services Board,DeKalb SHP,2551,5700,DeKalb
Dekalb Community Services Board,ESG - S+C Harm Reduction,2551,7598,
Dekalb Community Services Board,Shelter + Care,2551,1421,
Dekalb Community Services Board,Supportive Housing Program,2551,3760,
Druid Hills Night Shelter,Night Shelter,7148,3988,Fulton
EOA Savannah-Chatham,Tom D. Austin House,3310,250,Chatham
Essence of Hope Inc,Byron Transitional Housing Program,7926,4034,Fulton
Essence of Hope Inc,Home Sweet Home,7926,7773,
Essence of Hope Inc,Housing FIRST Stabilization Program,7926,4218,Fulton
Faith Community Outreach,Faith Community Outreach Center,2952,404,Dougherty
Families First,Shelter-A-Family,2074,665,
Families First,Shelter-A-Family II,2074,7185,
Families First,Weaver Gardens Transitional,2074,666,Fulton
Family Promise of Augusta (formerly - Interfaith Hospitality Network),Interfaith Shelter,2168,3179,
Family Promise of Augusta (formerly - Interfaith Hospitality Network),Transitional Housing,2168,3280,
Family Promise of Cobb County,ES_FC_Family Promise,14629,7888,
Fifth Avenue Shelter,Atlanta ES,60,6351,
Fifth Avenue Shelter,Atlanta ES - Seasonal/Overflow,60,7433,
Fifth Avenue Shelter,Branden ES,60,6531,
Fifth Avenue Shelter,Cascading Falls,60,5369,Fulton
Fifth Avenue Shelter,Kendrick House,60,6707,
Fifth Avenue Shelter,PSH,60,7544,
Fifth Avenue Shelter,S+C,60,7620,
Flint Circuit Council - ( Haven House ),At Risk,9770,6736,
Flint Circuit Council - ( Haven House ),Safely Housed,9770,7319,
Garden City Rescue Mission,Men's Emergency Shelter,2626,7138,
Gateway Behavioral Health Services,GA0044B4B010800,7026,7191,
Gateway Behavioral Health Services,GA0156B4B010900 ,7026,7190,
Gateway Behavioral Health Services,Gateway CSB S+CR GA0166C4B011102,7026,3553,
Gateway Behavioral Health Services,HUD 40SRO,7026,7015,
Gateway Center 24/7,Assessment,4329,3318,
Gateway Center 24/7,Employment Program for Men,4329,3320,Fulton
Gateway Center 24/7,GWC Rapid ReHousing Program,4329,7367,
Gateway Center 24/7,INACTIVE - Women's Overflow,4329,6204,
Gateway Center 24/7,INACTIVE-Women and Children Stab,4329,3316,
Gateway Center 24/7,Life Changers,4329,7181,
Gateway Center 24/7,Mental Health Program for Men,4329,3317,Fulton
Gateway Center 24/7,PACER,4329,1942,Fulton
Gateway Center 24/7,Pretreatment Program for Men,4329,3106,Fulton
Gateway Center 24/7,RA Program,4329,5748,Fulton
Gateway Center 24/7,Recuperative Care,4329,1941,
Gateway Center 24/7,Training Support Program for Men,4329,1940,Fulton
Gateway Center 24/7,Upward,4329,6987,
Gateway Center 24/7,VACB Emergency ,4329,6115,
Gateway Center 24/7,Veterans Transitional Housing,4329,1939,Fulton
"Genesis Shelter, Inc",Emergency Shelter,2666,385,Fulton
Georgia Law Center on Homelessness and Poverty,DCA ESG Prevention,76,7511,
Georgia Legal Services-Augusta,Legal Assistance,2163,67,
Georgia Rehabilitation Outreach,2005 05S SPC 05C299,3646,687,
Georgia Rehabilitation Outreach,2006 06S SPC 06C333,3646,3938,
Georgia Rehabilitation Outreach,GA0008C4B000802,3646,691,
"Gift Transitional Home Care, Inc.",FEMA Umbr of Hope/Opport For All,9649,6338,
"Gift Transitional Home Care, Inc.",Opport for All HP-FULTON COUNTY,9649,5576,Fulton
"Gift Transitional Home Care, Inc.",Opportunities for All/Womens ,9649,5572,
"Gift Transitional Home Care, Inc.",Opportunity For All/UOH (Pathway),9649,6559,
Good Neighbor Homeless Shelter,ER Shelter,4166,1806,Bartow
Good Neighbor Homeless Shelter,Goals,4166,1807,
Good Samaritan Respite Center,Respite Emergency Shelter Program,7006,3873,Richmond
