Category,Variable,Pos,Neg,SQL_calc
Enrollment,PE_LENGTH_OF_STAY,having a longer length of stay,having a shorter length of stay,Program_Exit_Date - Program_Entry_Date + 1 PE_Length_of_Stay
General,DEM_RACE_NONWHITE,being non-White,being White,"case when Race_Code in (5,6,7,9,10,11,12,13,14) then 1 else (case when Race_Code = 8 then 0 end) end Dem_Race_Nonwhite"
General,DEM_RACE_BLACK,being Black,not being Black,"case when Race_Code = 6 then 1 else (case when Race_Code in (5,7,8,9,10,11,12,13,14) then 0 end) end Dem_Race_Black"
General,DEM_RACE_OTHERMINORITY,being a minority race other than Black,being either Black or White,"case when Race_Code in (5,7,9,10,11,12,13,14) then 1 else (case when Race_Code in (6,8) then 0 end) end Dem_Race_OtherMinority"
General,DEM_ETHNICITY_LATINO,being Hispanic/Latino,not being Hispanic/Latino,case when Ethnicity_Code = 105 then 1 else (case when Ethnicity_Code = 104 then 0 end) end Dem_Ethnicity_Latino
General,DEM_GENDER_MALE,being male,being female,"case when Gender_Code = 1 then 1 else (case when Gender_Code in (2,3,4,5) then 0 end) end Dem_Gender_Male"
General,DEM_VET,being a veteran,not being a veteran,"case when Veteran_Status_Code in (1,0) then Veteran_Status_Code end Dem_Vet"
General,AGE_AT_ENTRY,being older,being younger,Program_Entry_Date - Date_of_Birth Age_at_Entry
General,AGE_UNDER18_ENTRY,being under 18 (at entry),not being under 18 (at entry),case when (Program_Entry_Date - Date_of_Birth)/365.25 < 18 then 1 when (Program_Entry_Date - Date_of_Birth)/365.25 >= 18 then 0 end Age_Under18_Entry
General,AGE_18TO24_ENTRY,being 18 to 24 (at entry),not being 18 to 24 (at entry),case when (Program_Entry_Date -Date_of_Birth)/365.25 between 18 and 24.99 then 1 when (Program_Entry_Date - Date_of_Birth)/365.25 < 18 or (Program_Entry_Date - Date_of_Birth)/365.25 >= 25 then 0 end Age_18to24_Entry
General,AGE_25ANDOLDER_ENTRY,being 25 or older (at entry),not being 25 or older (at entry),case when (Program_Entry_Date - Date_of_Birth)/365.25 >= 25 then 1 when (Program_Entry_Date - Date_of_Birth)/365.25 < 25 then 0 end Age_25andOlder_Entry
General,AGE_UNDER18_EXIT,being under 18 (at exit),not being under 18 (at exit),case when (Program_Exit_Date - Date_of_Birth)/365.25 < 18 then 1 when (Program_Exit_Date - Date_of_Birth)/365.25 >= 18 then 0 end Age_Under18_Exit
General,AGE_18TO24_EXIT,being 18 to 24 (at exit),not being 18 to 24 (at exit),case when (Program_Exit_Date - Date_of_Birth)/365.25 between 18 and 24.99 then 1 when (Program_Exit_Date - Date_of_Birth)/365.25 < 18 or (Program_Exit_Date - Date_of_Birth)/365.25 >= 25 then 0 end Age_18to24_Exit
General,AGE_25ANDOLDER_EXIT,being 25 or older (at exit),not being 25 or older (at exit),case when (Program_Exit_Date - Date_of_Birth)/365.25 >= 25 then 1 when (Program_Exit_Date - Date_of_Birth)/365.25 < 25 then 0 end Age_25andOlder_Exit
Household,HH_HEAD,being the head of household,not being the head of household,case when (Head_Num = 1 and Relationship_Code = 3) or (Head_Num = 0 and Date_of_Birth = Oldest_DoB) or  (Head_Num > 1 and Relationship_Code = 3 and Date_of_Birth = Oldest_DoB) then 1 else 0 end HH_Head
Household,HH_UNACCOMPANIED,being unaccompanied,being accompanied,case when Num_Fam = 1 then 1 else 0 end HH_Unaccompanied
Household,HH_MEMBERS,having more family members,having less family members,Num_Fam HH_Members
Household,HH_HAS_CHILDREN,having children,not having children,case when Num_Child > 0 then 1 else 0 end HH_Has_Children
Household,HH_NOT_ONLY_ADULT,not being the only adult in the household,being the only adult in the household,case when Num_Adult > 1 then 1 else 0 end HH_Not_Only_Adult
Household,HH_HAS_TEENAGE_MALE,being with a teenage male,not being with a teenage male,case when Num_Teen_M > 0 then 1 else 0 end HH_Has_Teenage_Male
Household,HH_HAS_TEENAGE_FEMALE,being with a teenage female,not being with a teenage female,case when Num_Teen_F > 0 then 1 else 0 end HH_Has_Teenage_Female
Household,HH_HAS_TEENAGER,being with a teenager,not being with a teenager,case when Num_Teen_M + Num_Teen_F > 0 then 1 else 0 end HH_Has_Teenager
Enrollment,CS_PNR_HOMELESS,having been homeless the night before program entry,not having been homeless the night before program entry,"case when CSI_N.Prior_Nights_Residence_Code in (1,16) then 1 else (case when not (CSI_N.Prior_Nights_Residence_Code is null or CSI_N.Prior_Nights_Residence_Code in (8,9)) then 0 end) end CS_PNR_Homeless"
